category;client_patch_prompt;compare_at_price;created_at;current_version;customisable_slots;description;features;id;is_active;is_default;is_premium;latest_changelog;lovable_project_url;name;preview_image;price;remix_url;theme_id;updated_at
food/ready-to-eat;"Apply theme Norhtern (North Indian Restraunt, with daal makhani and tandoori roti lachcha paratha and paneer labaabdar. Very tempting and very stylish with dark theme.) using layout ""bold-pop"". Palette: {""muted"":""#B0B0B0"",""surface"":""#2C2C2C"",""primary_fg"":""#FFFFFF"",""bg"":""#1A1A1A"",""primary"":""#FF4500"",""fg"":""#F0F0F0"",""accent"":""#ADFF2F"",""border"":""#4F4F4F""}. Fonts: {""body"":""Inter"",""heading"":""Bricolage Grotesque"",""heading_weight"":800}. Layout: {""hero_style"":""asymmetric"",""category_style"":""circles"",""product_style"":""cards_shadow"",""header_style"":""bold_serif"",""density"":""balanced"",""section_order"":[""marquee"",""hero"",""category_grid"",""trending"",""testimonials"",""newsletter""]}.";999;2026-05-20 17:55:20.167931+00;1.0.0;[];Experience the True Flavors of North India;{};c036c856-787a-486a-a3be-a6cd532967be;true;false;true;;/admin/themes/preview/theme-858b9d62;Norhtern;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/ca3bbc93-dc13-4f03-ae8e-c47e74256cb4.png;499;;theme-858b9d62;2026-05-20 18:58:19.265122+00
gifts/personalised;"Apply theme Gift Gallery (Gift shop, Soft toys, Decorative items, designer but clean and elegant premium look) using layout ""boutique-minimal"". Palette: {""border"":""#EEEEEE"",""muted"":""#A9A9A9"",""primary"":""#B2848D"",""primary_fg"":""#FFFFFF"",""surface"":""#FFFFFF"",""fg"":""#1A1A1A"",""accent"":""#E0BBE4"",""bg"":""#F5F5F5""}. Fonts: {""heading"":""Cormorant Garamond"",""body"":""Inter"",""heading_weight"":400}. Layout: {""hero_style"":""centered"",""category_style"":""grid_4"",""product_style"":""grid_minimal"",""header_style"":""minimal_thin"",""density"":""airy"",""section_order"":[""hero"",""category_grid"",""story"",""trending"",""testimonials"",""newsletter""]}.";999;2026-05-20 18:31:49.681637+00;1.0.0;[];Your Bespoke Gifting Experience;{};bf35af07-828a-441d-b5cb-d12f9ecea3b4;true;false;true;;/admin/themes/preview/theme-0152134c;Gift Gallery;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/23168af1-3247-428e-87a8-00c288bb3c1b.png;499;;theme-0152134c;2026-05-20 18:58:50.815909+00
food/healthy-food;"Apply theme Healthy Wealthy (Healthy food options for all kind of diets, salads and healthy options, nutrition facts of dishes and nutritional contents. Plans for diet foods. ) using layout ""storyteller-scroll"". Palette: {""surface"":""#FFFFFF"",""primary"":""#6B8E23"",""muted"":""#888888"",""fg"":""#333333"",""accent"":""#9ACD32"",""bg"":""#F8F4E8"",""primary_fg"":""#FFFFFF"",""border"":""#E0E0E0""}. Fonts: {""heading_weight"":600,""body"":""Inter"",""heading"":""Sora""}. Layout: {""hero_style"":""fullscreen_image"",""category_style"":""big_feature"",""product_style"":""cards_shadow"",""header_style"":""minimal_thin"",""density"":""airy"",""section_order"":[""hero"",""story"",""usp_strip"",""trending"",""testimonials"",""newsletter""]}.";;2026-05-24 07:55:57.115651+00;1.0.0;[];Nourish Your Life, Sustain Your Health;{};73140c6a-cd88-4156-a3e8-64afa4080a83;true;false;true;;/admin/themes/preview/theme-19c5584f;Healthy Wealthy;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/1c487695-ff52-4769-b803-c25da42d9cb8.png;499;;theme-19c5584f;2026-05-24 07:57:50.155364+00
hobby/musical;"Apply theme Dhun (Marketplace for all type of music instruments sale and repar) using layout ""catalog-dense"". Palette: {""primary"":""#8A2B0F"",""surface"":""#FFFFFF"",""accent"":""#F5A200"",""bg"":""#F5F5DC"",""border"":""#D3B8AE"",""muted"":""#7A7A7A"",""primary_fg"":""#FFFFFF"",""fg"":""#333333""}. Fonts: {""heading_weight"":700,""body"":""Lato"",""heading"":""Lora""}. Layout: {""hero_style"":""minimal_left"",""category_style"":""carousel_strip"",""product_style"":""grid_clean"",""header_style"":""classic"",""density"":""dense"",""section_order"":[""hero"",""category_grid"",""trending"",""usp_strip"",""testimonials"",""newsletter""]}.";999;2026-05-24 09:40:48.087528+00;1.0.0;[];Your melody, our instruments.;{};e31f2ac4-31ad-4164-a97c-f1d161a707ce;true;false;true;;/admin/themes/preview/theme-741d642a;Dhun;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/a6ce77a9-dc11-48a8-8c89-a6c30638a692.png;499;;theme-741d642a;2026-05-24 09:53:10.411971+00
hobby/photography;"Apply theme Memories (Asthetic) using layout ""catalog-dense"". Palette: {""muted"":""#888888"",""primary_fg"":""#FFFFFF"",""surface"":""#FFFFFF"",""primary"":""#333333"",""fg"":""#333333"",""bg"":""#F5F5F5"",""border"":""#CCCCCC"",""accent"":""#E0BBE4""}. Fonts: {""heading_weight"":700,""heading"":""Playfair Display"",""body"":""Lato""}. Layout: {""hero_style"":""minimal_left"",""category_style"":""carousel_strip"",""product_style"":""grid_clean"",""header_style"":""classic"",""density"":""dense"",""section_order"":[""hero"",""category_grid"",""trending"",""usp_strip"",""testimonials"",""newsletter""]}.";999;2026-05-24 09:45:56.920469+00;1.0.0;[];Capture Life's Essence;{};b442a7d8-af02-4afc-b861-a929abccd97b;true;false;true;;/admin/themes/preview/theme-aa44d00e;Memories;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/99769fd7-32ce-4e3c-93ce-2a0c4befac43.png;499;;theme-aa44d00e;2026-05-24 09:52:58.365728+00
hobby/model-kits;"Apply theme Lights (Candles selling market place, very elegant and premium, benefits also) using layout ""catalog-dense"". Palette: {""accent"":""#E0BBE4"",""fg"":""#333333"",""primary_fg"":""#FFFFFF"",""primary"":""#8B5F60"",""border"":""#EEEEEE"",""surface"":""#FFFFFF"",""bg"":""#F5F5F5"",""muted"":""#888888""}. Fonts: {""body"":""Lato"",""heading"":""Playfair Display"",""heading_weight"":700}. Layout: {""hero_style"":""minimal_left"",""category_style"":""carousel_strip"",""product_style"":""grid_clean"",""header_style"":""classic"",""density"":""dense"",""section_order"":[""hero"",""category_grid"",""trending"",""usp_strip"",""testimonials"",""newsletter""]}.";999;2026-05-24 09:51:51.303638+00;1.0.0;[];Illuminate Your Life;{};b31fe32d-a0bf-422f-ac20-6eb2c29ccc70;true;false;true;;/admin/themes/preview/theme-281857c5;Lights;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/19ea897b-3024-4c59-a7fa-253ff48e3a5a.png;499;;theme-281857c5;2026-05-24 09:52:46.598434+00
services/doctor-clinic;"Apply theme Doc pro (Doctor, ) using layout ""single-hero-focus"". Palette: {""surface"":""#FFFFFF"",""primary_fg"":""#FFFFFF"",""accent"":""#5EBFB5"",""bg"":""#F8FBF8"",""fg"":""#333333"",""muted"":""#6B7280"",""primary"":""#206796"",""border"":""#E0E0E0""}. Fonts: {""heading"":""Fraunces"",""heading_weight"":700,""body"":""Inter""}. Layout: {""hero_style"":""fullscreen_image"",""category_style"":""big_feature"",""product_style"":""grid_minimal"",""header_style"":""minimal_thin"",""density"":""airy"",""section_order"":[""hero"",""story"",""feature_grid"",""testimonials"",""faq"",""newsletter""]}.";999;2026-05-24 11:15:39.016321+00;1.0.0;[];Your Health, Our Priority - Trusted Care for a Healthier You.;{};e592c8e1-7874-4a7d-86c1-c36974e46796;true;false;true;;/admin/themes/preview/theme-7d0989a2;Doc pro;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/9d46f7e5-7edc-4345-a732-87f77bd20128.png;499;;theme-7d0989a2;2026-05-24 11:21:13.454214+00
services/doctor-clinic;Service theme Kids Doc (Paediatrician, bubbly website). Sub: doctor-clinic.;;2026-05-25 03:36:59.417651+00;1.0.0;[];Nurturing Health, Creating Smiles;{};a9799e5c-4acf-41a4-8918-357e3d1a050c;true;false;false;;/admin/themes/preview/theme-15cfb29a;Kids Doc;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/85f6b6b5-3884-4b89-949e-598727f4304c.png;0;;theme-15cfb29a;2026-05-25 03:36:59.417651+00
fashion/mens-western;"Apply theme Modern T (Modern T-shirts for youth, good effects and premium theme) using layout ""editorial-magazine"". Palette: {""surface"":""#FFFFFF"",""accent"":""#9B59B6"",""border"":""#E0E0E0"",""primary_fg"":""#FFFFFF"",""muted"":""#7F8C8D"",""fg"":""#333333"",""primary"":""#2C3E50"",""bg"":""#F8F8F8""}. Fonts: {""heading"":""Playfair Display"",""heading_weight"":400,""body"":""Work Sans""}. Layout: {""hero_style"":""editorial_serif"",""category_style"":""big_feature"",""product_style"":""editorial_list"",""header_style"":""centered_logo"",""density"":""airy"",""section_order"":[""hero"",""story"",""category_grid"",""trending"",""testimonials"",""newsletter""]}.";;2026-05-26 09:19:04.17989+00;1.0.0;[];The Future of Menswear.;{};c45c8380-bf2a-4cae-b798-4cd67af77b86;true;false;false;;/admin/themes/preview/theme-46fdab51;Modern T;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/1df7a395-4d4f-433e-be7a-3ac520a17c38.png;0;;theme-46fdab51;2026-05-26 09:19:04.17989+00
jewellery/artificial;"Apply theme Ornament (Jewellery shop, modern artificial Jewellery for youth) using layout ""bazaar-mosaic"". Palette: {""accent"":""#E4C59C"",""primary"":""#8C3B30"",""surface"":""#FFFFFF"",""bg"":""#FDF7E7"",""primary_fg"":""#FFFFFF"",""border"":""#D4C7B8"",""muted"":""#8A8A8A"",""fg"":""#333333""}. Fonts: {""heading_weight"":400,""body"":""Inter"",""heading"":""Marcellus SC""}. Layout: {""hero_style"":""split"",""category_style"":""mosaic_2x2"",""product_style"":""cards_shadow"",""header_style"":""classic"",""density"":""balanced"",""section_order"":[""hero"",""usp_strip"",""category_grid"",""trending"",""story"",""testimonials"",""newsletter""]}.";;2026-05-26 09:25:25.316342+00;1.0.0;[];Adorn Yourself with Modern Indian Elegance;{};6ef1f85c-5bdd-4874-986c-783ac94817ff;true;false;false;;/admin/themes/preview/theme-bee17452;Ornament;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/e1344354-8ebb-4269-b262-f20b202fae32.png;0;;theme-bee17452;2026-05-26 09:25:25.316342+00
books/office-stationery;"Apply theme Notebook (Stationery shop for whole seller and retailers, Catalogue based complete professional website for the shopkeepers from whole sale market. ) using layout ""bazaar-mosaic"". Palette: {""primary_fg"":""#FFFFFF"",""surface"":""#FFFFFF"",""border"":""#E0E0E0"",""primary"":""#8C3B3B"",""bg"":""#FDFBF7"",""fg"":""#333333"",""accent"":""#CC8A4F"",""muted"":""#8A8A8A""}. Fonts: {""heading_weight"":700,""heading"":""Cormorant Garamond"",""body"":""Inter""}. Layout: {""hero_style"":""split"",""category_style"":""mosaic_2x2"",""product_style"":""cards_shadow"",""header_style"":""classic"",""density"":""balanced"",""section_order"":[""hero"",""usp_strip"",""category_grid"",""trending"",""story"",""testimonials"",""newsletter""]}.";;2026-05-27 08:28:51.157398+00;1.0.0;[];Your partner in productivity;{};b0586f98-5b60-4fa2-8b92-c9f092577482;true;false;false;;/admin/themes/preview/theme-09b6e2a3;Notebook;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/ed38a224-183e-44a5-9652-916754ea5497.png;0;;theme-09b6e2a3;2026-05-27 08:28:51.157398+00
general/general;"Apply theme Educator (For all the tuition teacher teaching multiple courses. Elegant, professional and clean.) using layout ""catalog-dense"". Palette: {""border"":""#E0E0E0"",""fg"":""#333333"",""surface"":""#FFFFFF"",""accent"":""#F5A100"",""primary_fg"":""#FFFFFF"",""primary"":""#3A5C6F"",""bg"":""#F9F9F9"",""muted"":""#6B7C8F""}. Fonts: {""body"":""Open Sans"",""heading_weight"":700,""heading"":""Montserrat""}. Layout: {""hero_style"":""minimal_left"",""category_style"":""carousel_strip"",""product_style"":""grid_clean"",""header_style"":""classic"",""density"":""dense"",""section_order"":[""hero"",""category_grid"",""trending"",""usp_strip"",""testimonials"",""newsletter""]}.";;2026-05-27 08:57:34.006703+00;1.0.0;[];Your trusted partner in education.;{};d1b626a1-f684-4898-b97a-6c9bf6fad40f;true;false;false;;/admin/themes/preview/theme-254d9cdd;Educator;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/e2545658-7a63-4a77-867c-9199d9e47cfb.png;0;;theme-254d9cdd;2026-05-27 08:57:34.006703+00
services/ayurveda-clinic;Service theme Ayur Vedic Numerology (Authentic Ayurveda and Numerology Centre with a focus on holistic well-being and personalized guidance.). Sub: ayurveda-clinic.;;2026-05-29 14:08:02.767646+00;1.0.0;[];Harmonize Your Life with Ancient Wisdom and Numbers;{};b1d32fbd-99de-4a0f-804d-0be467c2db74;true;false;false;;/admin/themes/preview/theme-2c3e6544;Ayur Vedic Numerology;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/f7c363cf-b788-4f03-9400-f7ed0d939c57.png;0;;theme-2c3e6544;2026-05-29 14:08:02.767646+00
electronics/mobile-accessories;"Apply theme Mobile Accesories (Indian youth Touch Clean) using layout ""tech-spec"". Palette: {""surface"":""#FFFFFF"",""primary"":""#0A2463"",""bg"":""#F5F5F5"",""fg"":""#333333"",""border"":""#E0E0E0"",""muted"":""#6E6E6E"",""primary_fg"":""#FFFFFF"",""accent"":""#D83A52""}. Fonts: {""heading"":""Inter"",""heading_weight"":700,""body"":""Inter""}. Layout: {""hero_style"":""split"",""category_style"":""grid_4"",""product_style"":""grid_clean"",""header_style"":""classic"",""density"":""balanced"",""section_order"":[""hero"",""usp_strip"",""category_grid"",""trending"",""spec_table"",""testimonials"",""newsletter""]}.";;2026-06-02 10:26:35.823337+00;1.0.0;[];Power Up Your Life;{};181d37fc-7c3a-442b-b7eb-24c16014a457;true;false;false;;/admin/themes/preview/theme-73231aed;Mobile Accesories;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/7992b01e-8084-4892-a49b-a87cabd45cae.png;0;;theme-73231aed;2026-06-02 10:26:35.823337+00
home/bedding-bath;"Apply theme Sanitery (All the bathroom fittings for premium products) using layout ""catalog-dense"". Palette: {""primary"":""#4A934A"",""primary_fg"":""#FFFFFF"",""bg"":""#F5F5F5"",""surface"":""#FFFFFF"",""accent"":""#FF7F50"",""fg"":""#333333"",""border"":""#E0E0E0"",""muted"":""#888888""}. Fonts: {""heading_weight"":700,""body"":""Lato"",""heading"":""Playfair Display""}. Layout: {""hero_style"":""minimal_left"",""category_style"":""carousel_strip"",""product_style"":""grid_clean"",""header_style"":""classic"",""density"":""dense"",""section_order"":[""hero"",""category_grid"",""trending"",""usp_strip"",""testimonials"",""newsletter""]}.";;2026-06-18 09:16:45.50099+00;1.0.0;[];Premium Bathroom Fittings;{};639a3532-bc30-45c6-bb73-8e753f1f7fa1;true;false;false;;/admin/themes/preview/theme-c7561d7e;Sanitery;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/48733da3-4265-4003-a466-e3adf859344e.png;0;;theme-c7561d7e;2026-06-18 09:16:45.50099+00
general/general;"Apply theme Departmental store (Indian Departmental store) using layout ""catalog-dense"". Palette: {""muted"":""#777777"",""bg"":""#F8F8F8"",""primary_fg"":""#FFFFFF"",""fg"":""#333333"",""border"":""#EEEEEE"",""surface"":""#FFFFFF"",""primary"":""#3A5C5B"",""accent"":""#F5A623""}. Fonts: {""heading_weight"":700,""heading"":""Open Sans"",""body"":""Roboto""}. Layout: {""hero_style"":""minimal_left"",""category_style"":""carousel_strip"",""product_style"":""grid_clean"",""header_style"":""classic"",""density"":""dense"",""section_order"":[""hero"",""category_grid"",""trending"",""usp_strip"",""testimonials"",""newsletter""]}.";;2026-07-07 08:00:22.516366+00;1.0.0;[];Your trusted neighborhood store for quality and value.;{};80b27693-79ed-4d2f-81c1-d57064ff47ff;true;false;false;;/admin/themes/preview/theme-4213fc0e;Departmental store;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/themes/b7ee26b7-9a76-45b9-9ff4-8a0d6f73f55b.png;0;;theme-4213fc0e;2026-07-07 08:00:22.516366+00
